Sens,Nature Mvt,Section,Chapitre - Code,Chapitre - Libellé,Nature - Code,Nature - Libellé,Fonction - Code,Fonction - Libellé,Niveau 1 - Section,Niveau 2 - Catégorie,Niveau 3 - Type,Niveau a - Politique,Niveau b - Sous Politique
DEPENSE,ORDRE,INVESTISSEMENT,001,SOLDE INVEST REPORTE,001,SOLDE D'EXECUTION,01,OPERATIONS NON VENTILABLES,DEPENSE ORDRE INVESTISSEMENT,-,-,-,-
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,01,OPERATIONS NON VENTILABLES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,020,ADMIN GENERALE COLLECTIVITE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,021,ASSEMBLEE LOCALE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,023,"INFORMATION, COMMUNICATION",DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,024,FETES ET CEREMONIES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,025,AIDES AUX ASSOCIATIONS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,026,CIMETIERES ET POMPES FUNEBRES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Cimetières
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,03,JUSTICE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,048,AUTRES ACTIONS INTERNATIONALES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,110,SERVICES COMMUNS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,112,POLICE MUNICIPALE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,113,"POMPIERS, INCENDIES ET SECOURS",DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,114,AUTRES SERVICES DE PROTECTION,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,12,HYGIENE ET SALUBRITE PUBLIQUE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,20,SERVICES COMMUNS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,211,ECOLES MATERNELLES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,212,ECOLES PRIMAIRES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,213,CLASSES REGROUPEES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,22,ENSEIGNEMENT DU DEUXIEME DEGRE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,251,HEBERGEMENT ET RESTAURATION,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,252,TRANSPORTS SCOLAIRES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,255,CLASSES DE DECOUVERTE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,30,SERVICES COMMUNS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,311,"EXPRESSION MUSICALE, LYRIQUE",DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,312,ARTS PLASTIQUES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,313,THEATRES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,314,CINEMAS ET AUTRES SALLES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,322,MUSEES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,324,ENTRETIEN PATRIMOINE CULTUREL,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,33,ACTION CULTURELLE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,40,SERVICES COMMUNS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,411,"SALLES DE SPORT, GYMNASES",DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,412,STADES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,414,AUTRES EQUIPEMENTS SPORTIFS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,415,MANIFESTATIONS SPORTIVES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,421,CENTRES DE LOISIRS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,422,AUTRES ACTIVITES POUR JEUNES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,423,COLONIES DE VACANCES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,510,SERVICES COMMUNS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,511,DISPENSAIRES ET AUTRES ETABS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,512,ACTIONS PREVENTION SANITAIRE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,520,SERVICES COMMUNS,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,521,SERVICES A CARACTERE SOCIAL,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,523,ACTIONS PERSONNES DIFFICCULTE,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,524,AUTRES SERVICES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
DEPENSE,REELLE,INVESTISSEMENT,10,"DOTATIONS, FONDS DIVERS ET RES",10226,TAXE D AMENAGEMENT,61,SERVICES PERSONNES AGEES,DEPENSE REELLE INVESTISSEMENT,Autres dépenses,Remboursements divers,Espaces publics,Aménagement urbain
